Date,Open,High,Low,Close,Adj Close,Volume
"Feb 14, 2023",191.94,209.82,189.44,209.25,209.25,"216,455,700"
"Feb 13, 2023",194.42,196.3,187.61,194.64,194.64,"172,475,500"
"Feb 10, 2023",202.23,206.2,192.89,196.89,196.89,"204,754,100"
"Feb 9, 2023",207.78,214,204.77,207.32,207.32,"215,431,400"
"Feb 8, 2023",196.1,203,194.31,201.29,201.29,"180,673,600"
"Feb 7, 2023",196.43,197.5,189.55,196.81,196.81,"186,010,300"
"Feb 6, 2023",193.01,198.17,189.92,194.76,194.76,"186,188,100"
"Feb 3, 2023",183.95,199,183.69,189.98,189.98,"232,662,000"
"Feb 2, 2023",187.33,196.75,182.61,188.27,188.27,"217,448,300"
"Feb 1, 2023",173.89,183.81,169.93,181.41,181.41,"213,806,300"
"Jan 31, 2023",164.57,174.3,162.78,173.22,173.22,"196,813,500"
"Jan 30, 2023",178.05,179.77,166.5,166.66,166.66,"230,878,800"
"Jan 27, 2023",162.43,180.68,161.17,177.9,177.9,"306,590,600"
"Jan 26, 2023",159.97,161.42,154.76,160.27,160.27,"234,815,100"
"Jan 25, 2023",141.91,146.41,138.07,144.43,144.43,"192,734,300"
"Jan 24, 2023",143,146.5,141.1,143.89,143.89,"158,699,100"
"Jan 23, 2023",135.87,145.38,134.27,143.75,143.75,"203,119,200"
"Jan 20, 2023",128.68,133.51,127.35,133.42,133.42,"138,858,100"
"Jan 19, 2023",127.26,129.99,124.31,127.17,127.17,"170,291,900"
"Jan 18, 2023",136.56,136.68,127.01,128.78,128.78,"195,680,300"
"Jan 17, 2023",125.7,131.7,125.02,131.49,131.49,"186,477,000"
"Jan 13, 2023",116.55,122.63,115.6,122.4,122.4,"180,714,100"
"Jan 12, 2023",122.56,124.13,117,123.56,123.56,"169,400,900"
"Jan 11, 2023",122.09,125.95,120.51,123.22,123.22,"183,810,800"
"Jan 10, 2023",121.07,122.76,114.92,118.85,118.85,"167,642,500"
"Jan 9, 2023",118.96,123.52,117.11,119.77,119.77,"190,284,000"
"Jan 6, 2023",103,114.39,101.81,113.06,113.06,"220,911,100"
"Jan 5, 2023",110.51,111.75,107.16,110.34,110.34,"157,986,300"
"Jan 4, 2023",109.11,114.59,107.52,113.64,113.64,"180,389,000"
"Jan 3, 2023",118.47,118.8,104.64,108.1,108.1,"231,402,800"
"Dec 30, 2022",119.95,124.48,119.75,123.18,123.18,"157,777,300"
"Dec 29, 2022",120.39,123.57,117.5,121.82,121.82,"221,923,300"
"Dec 28, 2022",110.35,116.27,108.24,112.71,112.71,"221,070,500"
"Dec 27, 2022",117.5,119.67,108.76,109.1,109.1,"208,643,400"
"Dec 23, 2022",126.37,128.62,121.02,123.15,123.15,"166,989,700"
"Dec 22, 2022",136,136.63,122.26,125.35,125.35,"210,090,300"
"Dec 21, 2022",139.34,141.26,135.89,137.57,137.57,"145,417,400"
"Dec 20, 2022",146.05,148.47,137.66,137.8,137.8,"159,563,300"
"Dec 19, 2022",154,155.25,145.82,149.87,149.87,"139,390,600"
"Dec 16, 2022",159.64,160.99,150.04,150.23,150.23,"139,032,200"
"Dec 15, 2022",153.44,160.93,153.28,157.67,157.67,"122,334,500"
"Dec 14, 2022",159.25,161.62,155.31,156.8,156.8,"140,682,300"
"Dec 13, 2022",174.87,175.05,156.91,160.95,160.95,"175,862,700"
"Dec 12, 2022",176.1,177.37,167.52,167.82,167.82,"109,794,500"
"Dec 9, 2022",173.84,182.5,173.36,179.05,179.05,"104,872,300"
"Dec 8, 2022",172.2,175.2,169.06,173.44,173.44,"97,624,500"
"Dec 7, 2022",175.03,179.38,172.22,174.04,174.04,"84,213,300"
"Dec 6, 2022",181.22,183.65,175.33,179.82,179.82,"92,150,800"
"Dec 5, 2022",189.44,191.27,180.55,182.45,182.45,"93,122,700"
"Dec 2, 2022",191.78,196.25,191.11,194.86,194.86,"73,645,900"
"Dec 1, 2022",197.08,198.92,191.8,194.7,194.7,"80,046,200"
"Nov 30, 2022",182.43,194.76,180.63,194.7,194.7,"109,186,400"
"Nov 29, 2022",184.99,186.38,178.75,180.83,180.83,"83,357,100"
"Nov 28, 2022",179.96,188.5,179,182.92,182.92,"92,905,200"
"Nov 25, 2022",185.06,185.2,180.63,182.86,182.86,"50,672,700"
"Nov 23, 2022",173.57,183.62,172.5,183.2,183.2,"109,536,700"
"Nov 22, 2022",168.63,170.92,166.19,169.91,169.91,"78,452,300"
"Nov 21, 2022",175.85,176.77,167.54,167.87,167.87,"92,882,700"
"Nov 18, 2022",185.05,185.19,176.55,180.19,180.19,"76,048,900"
"Nov 17, 2022",183.96,186.16,180.9,183.17,183.17,"64,336,000"
"Nov 16, 2022",191.51,192.57,185.66,186.92,186.92,"66,567,600"
"Nov 15, 2022",195.88,200.82,192.06,194.42,194.42,"91,293,800"
"Nov 14, 2022",192.77,195.73,186.34,190.95,190.95,"92,226,600"
"Nov 11, 2022",186,196.52,182.59,195.97,195.97,"114,403,600"
"Nov 10, 2022",189.9,191,180.03,190.72,190.72,"132,703,000"
"Nov 9, 2022",190.78,195.89,177.12,177.59,177.59,"127,062,700"
"Nov 8, 2022",194.02,195.2,186.75,191.3,191.3,"128,803,400"
"Nov 7, 2022",208.65,208.9,196.66,197.08,197.08,"93,916,500"
"Nov 4, 2022",222.6,223.8,203.08,207.47,207.47,"98,622,200"
"Nov 3, 2022",211.36,221.2,210.14,215.31,215.31,"56,538,800"
